"","Player","Offseason.Year","Years","AAV","Predicted_AAV","Predicted_Years","AAV_diff","Year_diff"
"99","Jason Hammel",2017,2,8e+06,7826970.81866667,1.76654187596807,173029.181333333,0.233458124031934
"100","Jeremy Hellickson",2017,1,17200000,14670781.529,2.10529299206485,2529218.471,-1.10529299206485
"101","Jeremy Hellickson",2019,1,1300000,3621115.27656667,1.41052229531124,-2321115.27656667,-0.410522295311238
"102","Jesse Chavez",2017,1,5750000,6540088.0491,1.49765694529252,-790088.049099999,-0.497656945292523
"103","Jesse Chavez",2018,1,1e+06,3018145.5576,1.10191926888531,-2018145.5576,-0.101919268885314
"104","Jesse Chavez",2019,2,4e+06,5904292.21713334,1.92986798595334,-1904292.21713334,0.0701320140466564
"105","Jeurys Familia",2019,3,1e+07,9427418.74976666,2.42325363391612,572581.250233339,0.576746366083878
"106","Jeurys Familia",2022,1,6e+06,5097647.77496667,1.10706089494723,902352.225033334,-0.107060894947229
"107","Jimmy Nelson",2022,1,7e+05,5377394.71613333,1.55961529299717,-4677394.71613333,-0.559615292997173
"108","Joakim Soria",2016,3,8333333,8736697.09733333,2.12768612369467,-403364.097333325,0.872313876305327
"109","Joakim Soria",2019,2,7500000,6249044.71676667,1.31787092579075,1250955.28323333,0.682129074209245
"110","Joakim Soria",2021,1,3500000,4647745.54273333,1.11767843607096,-1147745.54273333,-0.117678436070963
"111","Joe Blanton",2016,1,4e+06,5497645.59363333,1.83195157537352,-1497645.59363333,-0.83195157537352
"112","Joe Blanton",2017,1,4e+06,5272615.82153333,1.10345662626858,-1272615.82153333,-0.10345662626858
"113","Joe Kelly",2019,3,8333333,7378939.31693333,1.50515052768607,954393.683066675,1.49484947231393
"114","Joe Smith",2017,1,3e+06,4450405.8281,1.62693617413732,-1450405.8281,-0.626936174137324
"115","Jon Lester",2021,1,5e+06,8012693.05346667,1.34016158466658,-3012693.05346667,-0.340161584666576
"116","Jordan Lyles",2018,1,1e+06,3320805.5531,1.03119511438484,-2320805.5531,-0.031195114384841
"117","Jordan Lyles",2019,1,2050000,4103758.0345,1.71956062958421,-2053758.0345,-0.719560629584206
"118","Jordan Lyles",2020,2,8e+06,6325759.14896667,1.69834209189745,1674240.85103333,0.301657908102555
"119","Jordan Lyles",2022,1,7e+06,6098421.66873334,0.992390125004178,901578.331266665,0.00760987499582222
"120","Jordan Lyles",2023,2,8500000,7817661.65926667,1.50856803804811,682338.340733333,0.491431961951893
"121","Jose Quintana",2021,1,8e+06,11041036.8634,2.05265203584974,-3041036.8634,-1.05265203584974
"122","Jose Quintana",2023,2,1.3e+07,10585974.7170667,1.61360109345554,2414025.28293333,0.386398906544462
"123","Justin Verlander",2022,1,2.5e+07,25326366.5678333,2.20125425833916,-326366.567833323,-1.20125425833916
"124","Justin Verlander",2023,2,43333333,35619561.4288667,2.41603237589638,7713771.57113333,-0.416032375896376
"125","Justin Wilson",2019,2,5e+06,7110879.98386666,1.98841221402041,-2110879.98386666,0.0115877859795943
"126","Kendall Graveman",2020,1,2e+06,4526716.93703333,1.76738863496567,-2526716.93703333,-0.76738863496567
"127","Kenley Jansen",2017,5,1.6e+07,16963213.8050333,3.59287074597689,-963213.805033326,1.40712925402311
"128","Kenley Jansen",2022,1,1.6e+07,14687491.8027,1.7496479895869,1312508.1973,-0.749647989586899
"129","Kenley Jansen",2023,2,1.6e+07,12658291.6535667,1.84472767597665,3341708.34643334,0.155272324023347
"130","Kevin Gausman",2021,1,18900000,16288953.8732333,1.95557995119543,2611046.12676667,-0.955579951195426
"131","Kevin Gausman",2022,5,2.2e+07,22945033.7579667,4.17691517776976,-945033.75796666,0.823084822230239
"132","Kirby Yates",2021,1,5500000,10416911.3659333,3.22545797647429,-4916911.36593333,-2.22545797647429
"133","Kirby Yates",2024,1,4500000,5231573.60916667,0.903127224421599,-731573.609166667,0.0968727755784007
"134","Kyle Gibson",2020,3,9333333,8556555.16166666,1.51781868601615,776777.838333342,1.48218131398385
"135","Kyle Gibson",2023,1,1e+07,7229201.0995,1.29496591805081,2770798.9005,-0.294965918050815
"136","Kyle Gibson",2024,1,1.3e+07,11722576.3847,1.38588672891025,1277423.6153,-0.385886728910252
"137","Lance Lynn",2018,1,1.2e+07,8067398.31133333,1.41643894425584,3932601.68866667,-0.416438944255839
"138","Lance Lynn",2019,3,1e+07,9454563.3075,1.60589059287707,545436.692500003,1.39410940712293
"139","Lance Lynn",2024,1,1.1e+07,11100920.7929333,1.58950068757974,-100920.79293333,-0.58950068757974
"140","Liam Hendriks",2021,3,1.8e+07,14321428.4879,1.91286282295692,3678571.5121,1.08713717704308
"141","Liam Hendriks",2024,2,5e+06,10976815.9237,1.42473733567807,-5976815.9237,0.575262664321928
"142","Luke Gregerson",2018,2,5500000,6288466.46466667,1.55620059905074,-788466.464666667,0.443799400949255
